id,symbol,made_at,target_at,now_price,sigma_h,quantile,call_value,kalshi_strike,kalshi_no_at_strike,kalshi_no_at_call,model_no_at_strike,edge_pp,actual_price,won,settled_at,made_at_iso,target_at_iso,settled_at_iso
91,BTCUSDT,1778598012.8626719,1778601600.0,80480.36,0.004680550127219165,0.7,80631.96896489902,80599.99,0.665,0.6777915859596046,0.6615895060390077,-0.34104939609923557,80336.01,1,1778601606.622855,2026-05-12T11:00:12,2026-05-12T12:00:00,2026-05-12T12:00:06
90,BTCUSDT,1778594404.302086,1778598000.0,80428.59,0.004200380832230224,0.7,80564.54502267357,80599.99,1.0,1.0,0.7434228307127964,-25.657716928720365,80540.0,1,1778598005.331637,2026-05-12T10:00:04,2026-05-12T11:00:00,2026-05-12T11:00:05
89,BTCUSDT,1778590806.49394,1778594400.0,80889.99,0.003328632351852243,0.7,80998.3279491665,80999.99,0.5,0.5,0.7026840493338182,20.268404933381824,80466.91,1,1778594415.9932103,2026-05-12T09:00:06,2026-05-12T10:00:00,2026-05-12T10:00:15
88,BTCUSDT,1778587212.4978185,1778590800.0,80781.25,0.00171033069339086,0.7,80836.82370265495,80799.99,0.59,0.6397254985841712,0.5713782203845333,-1.8621779615466627,80881.26,0,1778590800.5907981,2026-05-12T08:00:12,2026-05-12T09:00:00,2026-05-12T09:00:00
87,BTCUSDT,1778583612.168887,1778587200.0,80690.24,0.0021188232917399674,0.7,80759.0149196446,80799.99,0.8200000000000001,0.7237085611647978,0.7921969853700808,-2.78030146299193,80784.86,0,1778587207.0226529,2026-05-12T07:00:12,2026-05-12T08:00:00,2026-05-12T08:00:07
86,BTCUSDT,1778580002.706861,1778583600.0,80833.99,0.0025863005478244934,0.7,80918.0962322031,80899.99,0.5,0.5,0.6607560431234344,16.07560431234344,80666.38,1,1778583606.7333584,2026-05-12T06:00:02,2026-05-12T07:00:00,2026-05-12T07:00:06
85,BTCUSDT,1778576415.5441124,1778580000.0,80821.24,0.0023210898559212993,0.7,80896.70567696329,80899.99,0.745,0.7367891924082142,0.7075750542049457,-3.7424945795054287,80837.15,1,1778580013.4186265,2026-05-12T05:00:15,2026-05-12T06:00:00,2026-05-12T06:00:13
84,BTCUSDT,1778572804.233243,1778576400.0,80841.7,0.002650455640123842,0.7,80927.90188245868,80899.99,0.5,0.5,0.6399426843174985,13.994268431749845,80843.3,1,1778576410.0614665,2026-05-12T04:00:04,2026-05-12T05:00:00,2026-05-12T05:00:10
83,BTCUSDT,1778569215.4936543,1778572800.0,81012.92,0.0018764356999558447,0.7,81074.0678444848,81099.99,0.765,0.7027868267635117,0.768206259570458,0.3206259570457948,80865.4,1,1778572815.7371376,2026-05-12T03:00:15,2026-05-12T04:00:00,2026-05-12T04:00:15
82,BTCUSDT,1778565614.7520735,1778569200.0,81207.14,0.0018775020686183504,0.7,81268.46928650662,81299.99,0.775,0.6914701092425217,0.7810426413713536,0.6042641371353574,81022.44,1,1778569210.0310643,2026-05-12T02:00:14,2026-05-12T03:00:00,2026-05-12T03:00:10
81,BTCUSDT,1778562001.3401723,1778565600.0,81235.0,0.0018383555634218967,0.7,81295.07068060992,81299.99,0.665,0.6568831230063574,0.7141500615790618,4.915006157906177,81224.04,1,1778565609.2969835,2026-05-12T01:00:01,2026-05-12T02:00:00,2026-05-12T02:00:09
80,BTCUSDT,1778558403.6984787,1778562000.0,81042.0,0.0021991259000787343,0.7,81113.69380038146,81099.99,0.67,0.6919260806103238,0.6652935003112151,-0.4706499688784893,81240.01,0,1778562017.2828279,2026-05-12T00:00:03,2026-05-12T01:00:00,2026-05-12T01:00:17
79,BTCUSDT,1778554803.0504162,1778558400.0,81249.99,0.0030424069016914334,0.7,81349.4470596333,81299.99,0.655,0.7489684133032555,0.6054478034818264,-4.955219651817366,81058.79,1,1778558418.7243323,2026-05-11T23:00:03,2026-05-12T00:00:00,2026-05-12T00:00:18
78,BTCUSDT,1778551200.8828993,1778554800.0,81187.11,0.004411811864361418,0.7,81331.26133414646,81299.99,1.0,1.0,0.6604551076246449,-33.95448923753551,81249.93,1,1778554818.2691195,2026-05-11T22:00:00,2026-05-11T23:00:00,2026-05-11T23:00:18
77,BTCUSDT,1778547601.458986,1778551200.0,81543.13,0.0022161085086630622,0.7,81615.82444756047,81599.99,1.0,1.0,0.6602731998225675,-33.97268001774325,81199.18,1,1778551213.6408117,2026-05-11T21:00:01,2026-05-11T22:00:00,2026-05-11T22:00:13
76,BTCUSDT,1778544004.8471541,1778547600.0,81730.1,0.0019431196791438003,0.7,81793.98230574698,81799.99,0.725,0.7027715312637941,0.7162107327510228,-0.8789267248977217,81545.2,1,1778547616.9118493,2026-05-11T20:00:04,2026-05-11T21:00:00,2026-05-11T21:00:16
75,BTCUSDT,1778540401.8773406,1778544000.0,81822.01,0.0023628414865443253,0.7,81899.78506575426,81899.99,0.75,0.7494261841119092,0.7004621946676868,-4.953780533231322,81745.66,1,1778544014.1288788,2026-05-11T19:00:01,2026-05-11T20:00:00,2026-05-11T20:00:14
74,BTCUSDT,1778536812.5885575,1778540400.0,81830.74,0.002453962317674548,0.7,81911.52448876212,81899.99,0.67,0.6878784575812824,0.6742891261430147,0.42891261430146876,81833.92,1,1778540413.8501744,2026-05-11T18:00:12,2026-05-11T19:00:00,2026-05-11T19:00:13
73,BTCUSDT,1778533204.5805676,1778536800.0,81821.03,0.003162261971154222,0.7,81925.13420129819,81899.99,0.5,0.5,0.655784458192382,15.578445819238196,81821.18,1,1778536807.1173997,2026-05-11T17:00:04,2026-05-11T18:00:00,2026-05-11T18:00:07
72,BTCUSDT,1778529613.3566535,1778533200.0,81969.18,0.003896199083771341,0.7,82097.69721255242,81999.99,0.565,0.686156943564993,0.5509549150068023,-1.4045084993197676,81821.03,1,1778533217.7155476,2026-05-11T16:00:13,2026-05-11T17:00:00,2026-05-11T17:00:17
71,BTCUSDT,1778526001.2838976,1778529600.0,81864.14,0.003528051494414817,0.7,81980.35602950465,81999.99,1.0,1.0,0.7286804338580747,-27.131956614192532,81961.99,1,1778529607.8094249,2026-05-11T15:00:01,2026-05-11T16:00:00,2026-05-11T16:00:07
70,BTCUSDT,1778522404.9889138,1778526000.0,81919.99,0.0034736956764916016,0.7,82034.4923305291,81999.99,1.0,1.0,0.6443117388312539,-35.56882611687461,81858.97,1,1778526009.8053596,2026-05-11T14:00:04,2026-05-11T15:00:00,2026-05-11T15:00:09
69,BTCUSDT,1778518812.0904264,1778522400.0,81619.17,0.004339857412960283,0.7,81761.72286503926,81799.99,0.765,0.719079438047111,0.7446363614044359,-2.0363638595564115,81941.09,0,1778522413.2480695,2026-05-11T13:00:12,2026-05-11T14:00:00,2026-05-11T14:00:13
68,BTCUSDT,1778515200.6743257,1778518800.0,81445.89,0.004294928381983045,0.7,81586.66628199663,81599.99,0.5,0.5,0.7163042050439586,21.630420504395865,81575.84,1,1778518806.5628994,2026-05-11T12:00:00,2026-05-11T13:00:00,2026-05-11T13:00:06
67,BTCUSDT,1778511604.5521584,1778515200.0,80952.11,0.0045048852272024055,0.7,81098.87910049356,81099.99,1.0,1.0,0.7013258678964619,-29.86741321035381,81445.89,0,1778515214.4630208,2026-05-11T11:00:04,2026-05-11T12:00:00,2026-05-11T12:00:14
66,BTCUSDT,1778508006.2913132,1778511600.0,81076.51,0.004531177631165064,0.7,81224.3633465062,81199.99,0.655,0.6805920138315058,0.6702131637340781,1.5213163734078106,80953.39,1,1778511612.9856708,2026-05-11T10:00:06,2026-05-11T11:00:00,2026-05-11T11:00:12
65,BTCUSDT,1778504411.0698006,1778508000.0,81056.46,0.002744881464575952,0.7,81145.97179080643,81099.99,0.6,0.6988608502338218,0.6021096483414622,0.21096483414622114,81072.01,1,1778508000.1443605,2026-05-11T09:00:11,2026-05-11T10:00:00,2026-05-11T10:00:00
64,BTCUSDT,1778500812.1140528,1778504400.0,81227.24,0.0021254460091308883,0.7,81296.68911223135,81299.99,0.665,0.658728313239562,0.7082668032133598,4.326680321335974,81054.65,1,1778504405.5883613,2026-05-11T08:00:12,2026-05-11T09:00:00,2026-05-11T09:00:05
63,BTCUSDT,1778497204.9524465,1778500800.0,80940.01,0.0023237429715891205,0.7,81015.673004725,80999.99,0.545,0.5457841502362499,0.6622636295048702,11.726362950487012,81196.95,0,1778500806.6326761,2026-05-11T07:00:04,2026-05-11T08:00:00,2026-05-11T08:00:06
62,BTCUSDT,1778493602.7494392,1778497200.0,80976.69,0.0019807031509666033,0.7,81041.20811906148,80999.99,1.0,1.0,0.5763603496004068,-42.36396503995932,80940.0,1,1778497215.1106772,2026-05-11T06:00:02,2026-05-11T07:00:00,2026-05-11T07:00:15
61,BTCUSDT,1778490003.4533548,1778493600.0,80758.31,0.0024098760356722135,0.7,80836.60277526567,80799.99,1.0,1.0,0.6114301987810513,-38.85698012189487,80966.58,0,1778493612.2463613,2026-05-11T05:00:03,2026-05-11T06:00:00,2026-05-11T06:00:12
